# Curated corpus (~5 rows per bucket).
# Constraints: at most 1 pristine opening; vary (STM, phase, actions_rem) and loadout.
# Format: id, category, expected_depth_n, expected_score_range, fen

# --- opening-with-skills (5 rows) ---
opening-with-skills-01, opening-with-skills, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/8/8/1GGGGGG1/1C[2/0/0/5/7]C[2/0/0/5/13]K[2/0/0/9/5]C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 M 2 6 6 0 1 0x0
midgame-move-05, midgame-move, -, -, 1c[2/2/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/2g3g1/8/2g5/2G[1/0/0/0/0]GGg2/8/1G4G1/1C[2/0/0/4/10]C[2/2/0/2/3]K[2/0/0/8/13]C[2/1/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P1 M 2 3 2 0 4 0x0

# --- skill-phase-full (5 rows) ---
skill-phase-full-01, skill-phase-full, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]K[2/0/0/9/5]C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 S 2 6 6 0 1 0x0
skill-phase-full-02, skill-phase-full, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/2G2G2/3K[2/0/0/9/5]4/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 S 1 3 6 0 1 0x0
skill-phase-full-03, skill-phase-full, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gg2gg1/8/2g2g2/2GK[2/0/0/9/5]1G2/8/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P2 S 2 0 6 0 1 0x0
skill-phase-full-04, skill-phase-full, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/1/0/12/6]1/1gg2gg1/8/2g2g2/2GK[2/0/0/9/5]1G2/8/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P2 S 1 0 4 0 1 0x0
skill-phase-full-05, skill-phase-full, -, -, 1c[2/0/0/8/15]c[2/0/0/2/9]c[2/0/0/11/6]k[2/0/0/7/10]c[2/0/0/12/14]c[2/0/0/7/10]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/8/12]C[2/0/0/5/6]K[2/0/0/9/10]C[2/0/0/14/2]C[2/0/0/14/10]C[2/0/0/13/8]1 P1 S 2 6 6 0 1 0x0

# --- combo-loaded (5 rows) ---
combo-loaded-01, combo-loaded, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/2/0/15/5]c[2/2/0/12/6]1/8/5g[2/1/0/0/0]2/4Gg[1/0/0/0/0]2/2K[2/0/0/9/5]5/4C[2/0/0/4/9]3/5G2/1C[2/0/0/5/7]C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P1 S 1 3 1 0 6 0x0 34 20 1
combo-loaded-02, combo-loaded, -, -, 1c[2/2/0/2/6]c[2/1/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/8/8/2gG4/5g[1/0/0/0/0]2/6C[2/2/0/9/7]1/8/1C[2/0/0/4/10]C[2/2/0/2/3]K[2/0/0/8/13]1C[2/0/0/5/12]C[2/0/0/11/12]1 P2 S 0 3 0 0 6 0x0 36 57 1
combo-loaded-03, combo-loaded, -, -, 1c[2/0/0/14/13]1c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/2g3g1/8/5c[2/0/0/13/12]2/2gg[1/0/0/0/0]4/3G4/6G1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/2/0/6/1]1 P2 S 1 4 0 0 4 0x0 43 59 1
combo-loaded-04, combo-loaded, -, -, 1c[2/0/0/14/13]1c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/2g3g1/8/5c[2/0/0/13/12]2/3G4/8/2C[2/0/0/2/7]3G1/1C[2/0/0/7/5]1K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/2/0/6/1]1 P1 S 0 1 0 0 5 0x0 18 10,4 65537
combo-loaded-05, combo-loaded, -, -, 8/1K[2/0/0/9/12]4k[2/0/0/12/15]1/4c[1/0/1/5/8]3/8/1c[2/2/0/6/7]C[2/2/0/7/4]5/5C[2/0/0/12/4]2/8/8 P1 S 2 2 1 0 17 0x0 44 26 1

# --- endgame-with-skills (5 rows) ---
endgame-with-skills-01, endgame-with-skills, -, -, 4k[2/2/0/5/14]3/1c[2/0/0/13/4]2c[2/0/0/10/15]1c[2/0/0/12/8]1/8/4c[2/1/0/3/2]3/8/8/1C[2/2/0/7/14]1K[2/0/0/8/1]2C[2/0/0/11/15]1/1C[2/1/0/11/10]4C[2/0/0/15/5]1 P1 M 2 4 0 0 12 0x0
endgame-with-skills-02, endgame-with-skills, -, -, 4k[2/2/0/5/14]3/1c[2/0/0/13/4]2c[2/0/0/10/15]1c[2/0/0/12/8]1/8/4c[2/1/0/3/2]3/8/8/1C[2/2/0/7/14]1K[2/0/0/8/1]1C[2/0/0/15/5]C[2/0/0/11/15]1/1C[2/1/0/11/10]6 P1 M 1 4 0 0 12 0x2000
endgame-with-skills-03, endgame-with-skills, -, -, 4k[2/2/0/5/14]3/1c[2/0/0/13/4]2c[2/0/0/10/15]1c[2/0/0/12/8]1/8/4c[2/1/0/3/2]3/8/8/1C[2/2/0/7/14]C[2/2/0/11/10]K[2/0/0/8/1]1C[2/0/0/15/5]C[2/0/0/11/15]1/8 P2 M 2 0 4 0 12 0x0
endgame-with-skills-04, endgame-with-skills, -, -, 8/1K[2/0/0/9/12]4k[2/0/0/12/15]1/4c[2/0/0/5/8]3/8/1c[2/2/0/6/7]C[2/2/0/7/4]5/5C[2/0/0/12/4]2/8/8 P1 M 0 5 2 0 17 0x2000004000000
endgame-with-skills-05, endgame-with-skills, -, -, 8/1K[2/0/0/9/12]4k[2/0/0/12/15]1/4c[2/0/0/5/8]3/8/1c[2/2/0/6/7]C[2/2/0/7/4]5/5C[2/0/0/12/4]2/8/8 P1 S 3 5 2 0 17 0x0

# --- king-in-danger (5 rows) ---
king-in-danger-01, king-in-danger, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/2/0/15/5]c[2/2/0/12/6]1/8/2K[2/0/0/9/5]5/4g[2/1/0/0/0]1C[2/0/0/4/9]1/4G3/8/1C[2/0/0/5/7]6/2C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P1 S 0 0 3 0 7 0x0
king-in-danger-02, king-in-danger, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/2/0/15/5]c[2/2/0/12/6]1/8/2K[2/0/0/9/5]5/4g[2/1/0/0/0]1C[2/0/0/4/9]1/4G3/8/1C[2/0/0/5/7]6/2C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P2 M 2 0 6 0 7 0x0
king-in-danger-03, king-in-danger, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/2/0/15/5]c[2/2/0/12/6]1/8/2K[2/0/0/9/5]5/4g[2/1/0/0/0]1C[2/0/0/4/9]1/4G3/8/1C[2/0/0/5/7]6/2C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P2 S 2 0 6 0 7 0x0
king-in-danger-04, king-in-danger, -, -, 3c[2/0/0/3/8]2c[2/0/0/9/1]1/1c[2/2/0/1/14]3c[2/0/0/12/11]2/1c[2/2/0/2/6]1k[2/1/0/4/12]4/8/2C[2/2/0/2/3]2C[2/2/0/9/7]2/8/1C[2/0/0/4/10]2K[1/0/0/8/13]C[2/2/0/11/12]C[2/2/0/5/12]1/8 P2 M 0 1 4 0 10 0xa0000000000
king-in-danger-05, king-in-danger, -, -, 3c[2/0/0/3/8]2c[2/0/0/9/1]1/1c[2/2/0/1/14]3c[2/0/0/12/11]2/1c[2/2/0/2/6]1k[2/1/0/4/12]4/8/2C[2/2/0/2/3]2C[2/1/0/9/7]2/8/1C[2/0/0/4/10]2K[1/0/0/8/13]C[2/2/0/11/12]C[2/2/0/5/12]1/8 P1 M 2 4 0 0 11 0x0

