# Auto-generated corpus rows (v2). Hand-curate before committing.
# Format: id, category, expected_depth_n, expected_score_range, fen [; expected_best_move_raw,...]
# Curation target: ~5 rows per bucket after review.

# --- opening-with-skills (20 candidates) ---
opening-with-skills-01, opening-with-skills, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/8/8/1GGGGGG1/1C[2/0/0/5/7]C[2/0/0/5/13]K[2/0/0/9/5]C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 M 2 6 6 0 1 0x0
opening-with-skills-12, opening-with-skills, -, -, 1c[2/0/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/1gg1ggg1/8/2g5/2G2G2/8/1GG2GG1/1C[2/0/0/4/10]C[2/2/0/2/3]K[2/0/0/8/13]C[2/0/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P2 M 1 0 6 0 1 0x400000000
opening-with-skills-13, opening-with-skills, -, -, 1c[2/0/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/1gggggg1/8/8/8/8/1GGGGGG1/1C[2/0/0/10/3]C[2/0/0/13/12]K[2/0/0/15/11]C[2/0/0/2/13]C[2/0/0/12/15]C[2/0/0/1/8]1 P1 M 2 6 6 0 1 0x0
opening-with-skills-14, opening-with-skills, -, -, 1c[2/0/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/1gggggg1/8/8/2G5/8/1GG1GGG1/1C[2/0/0/10/3]C[2/0/0/13/12]K[2/0/0/15/11]C[2/0/0/2/13]C[2/0/0/12/15]C[2/0/0/1/8]1 P1 M 1 6 6 0 1 0x4000000
opening-with-skills-15, opening-with-skills, -, -, 1c[2/0/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/10/3]C[2/0/0/13/12]K[2/0/0/15/11]C[2/0/0/2/13]C[2/2/0/12/15]C[2/0/0/1/8]1 P2 M 2 0 6 0 1 0x0
opening-with-skills-16, opening-with-skills, -, -, 1c[2/0/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/1gg1ggg1/8/2g5/2G2G2/8/1GG2GG1/1C[2/0/0/10/3]C[2/0/0/13/12]K[2/0/0/15/11]C[2/0/0/2/13]C[2/2/0/12/15]C[2/0/0/1/8]1 P2 M 1 0 6 0 1 0x400000000
opening-with-skills-17, opening-with-skills, -, -, 1c[2/0/0/14/13]c[2/0/0/13/12]c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/1gggggg1/8/8/8/8/1GGGGGG1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/0/0/11/6]C[2/0/0/7/13]C[2/0/0/6/1]1 P1 M 2 6 6 0 1 0x0
opening-with-skills-18, opening-with-skills, -, -, 1c[2/0/0/14/13]c[2/0/0/13/12]c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/1gggggg1/8/8/2G5/8/1GG1GGG1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/0/0/11/6]C[2/0/0/7/13]C[2/0/0/6/1]1 P1 M 1 6 6 0 1 0x4000000
opening-with-skills-19, opening-with-skills, -, -, 1c[2/0/0/14/13]c[2/0/0/13/12]c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/0/0/6/1]1 P2 M 2 2 6 0 1 0x0
opening-with-skills-20, opening-with-skills, -, -, 1c[2/0/0/14/13]c[2/0/0/13/12]c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/1gg1ggg1/8/2g5/2G2G2/8/1GG2GG1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/0/0/6/1]1 P2 M 1 2 6 0 1 0x400000000

# --- midgame-move (20 candidates) ---
midgame-move-01, midgame-move, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/1/0/15/5]c[2/2/0/12/6]1/8/2g[1/0/0/0/0]2g[2/1/0/0/0]2/3g[1/0/0/0/0]gg2/8/2K[2/0/0/9/5]5/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 M 2 3 0 0 4 0x0
midgame-move-02, midgame-move, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/1/0/15/5]c[2/2/0/12/6]1/8/2g[1/0/0/0/0]2g[2/1/0/0/0]2/3g[1/0/0/0/0]gg2/2G5/2K[2/0/0/9/5]5/2G2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 M 1 3 0 0 4 0x4000000
midgame-move-03, midgame-move, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/1/0/15/5]c[2/2/0/12/6]1/8/2g[1/0/0/0/0]2g[2/1/0/0/0]2/3g[1/0/0/0/0]gg2/2G2G2/2K[2/0/0/9/5]1C[2/0/0/4/9]3/2G2G2/1C[2/0/0/5/7]C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P2 M 2 0 2 0 4 0x0
midgame-move-04, midgame-move, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/1/0/15/5]c[2/2/0/12/6]1/8/2g[1/0/0/0/0]2g[2/1/0/0/0]2/2g[1/0/0/0/0]1gg2/2G[1/0/0/0/0]2G2/2K[2/0/0/9/5]1C[2/0/0/4/9]3/2G2G2/1C[2/0/0/5/7]C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P2 M 1 0 2 0 4 0x400000000
midgame-move-05, midgame-move, -, -, 1c[2/2/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/2g3g1/8/2g5/2G[1/0/0/0/0]GGg2/8/1G4G1/1C[2/0/0/4/10]C[2/2/0/2/3]K[2/0/0/8/13]C[2/1/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P1 M 2 3 2 0 4 0x0
midgame-move-06, midgame-move, -, -, 1c[2/2/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/2g3g1/8/2g2G2/2G[1/0/0/0/0]G1g[1/0/0/0/0]2/8/1G4G1/1C[2/0/0/4/10]C[2/2/0/2/3]K[2/0/0/8/13]C[2/1/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P1 M 1 3 2 0 4 0x2000000000
midgame-move-07, midgame-move, -, -, 1c[2/2/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/2g3g1/8/2g2G2/2G[1/0/0/0/0]G1G2/8/1G6/1C[2/0/0/4/10]C[2/2/0/2/3]K[2/0/0/8/13]C[2/2/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P2 M 2 0 4 0 4 0x0
midgame-move-08, midgame-move, -, -, 1c[2/2/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/2g3g1/8/5G2/2gG1G2/8/1G6/1C[2/0/0/4/10]C[2/2/0/2/3]K[2/0/0/8/13]C[2/2/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P2 M 1 0 4 0 4 0x4000000
midgame-move-09, midgame-move, -, -, 1c[2/2/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/2g[2/2/0/0/0]5/2g2g2/2g[1/0/0/0/0]2g2/2G2C[2/0/0/13/12]2/8/2G2GG1/1C[2/0/0/10/3]1K[2/0/0/15/11]C[2/0/0/2/13]C[2/2/0/12/15]C[2/0/0/1/8]1 P1 M 2 2 0 0 4 0x0
midgame-move-10, midgame-move, -, -, 1c[2/2/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/2g[2/2/0/0/0]5/2g2g2/2G2g2/5C[2/0/0/13/12]2/8/2G2GG1/1C[2/0/0/10/3]1K[2/0/0/15/11]C[2/0/0/2/13]C[2/2/0/12/15]C[2/0/0/1/8]1 P1 M 1 2 0 0 4 0x400000000
midgame-move-11, midgame-move, -, -, 1c[2/2/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/2g[2/2/0/0/0]5/2g2g2/2G2g[1/0/0/0/0]2/5C[2/0/0/13/12]2/8/2G2GG1/1C[2/0/0/10/3]1K[2/0/0/15/11]C[2/0/0/2/13]C[2/2/0/12/15]C[2/0/0/1/8]1 P2 M 2 2 2 0 4 0x0
midgame-move-12, midgame-move, -, -, 1c[2/2/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/2g[2/2/0/0/0]5/2g2g2/2G2g[1/0/0/0/0]2/5C[1/0/0/13/12]2/8/2G2GG1/1C[2/0/0/10/3]1K[2/0/0/15/11]C[2/0/0/2/13]C[2/2/0/12/15]C[2/0/0/1/8]1 P2 M 1 2 2 0 4 0x2000000000
midgame-move-13, midgame-move, -, -, 1c[2/0/0/14/13]1c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/2g3g1/3G[1/0/0/0/0]4/2g[1/0/0/0/0]2c[2/0/0/13/12]2/2gg4/8/2G2GG1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/2/0/6/1]1 P1 M 2 4 2 0 4 0x0
midgame-move-14, midgame-move, -, -, 1c[2/0/0/14/13]1c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/2g3g1/3G[1/0/0/0/0]4/2g[1/0/0/0/0]2c[2/0/0/13/12]2/2gg[1/0/0/0/0]4/3G4/5GG1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/2/0/6/1]1 P1 M 1 4 2 0 4 0x80000
midgame-move-15, midgame-move, -, -, 1c[2/0/0/14/13]1c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/2g3g1/3G[1/0/0/0/0]4/2g[1/0/0/0/0]2c[2/0/0/13/12]2/2gG4/3G4/6G1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/2/0/6/1]1 P2 M 2 4 4 0 4 0x0
midgame-move-16, midgame-move, -, -, 1c[2/0/0/14/13]1c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/2g3g1/3G[1/0/0/0/0]4/2g[1/0/0/0/0]2c[2/0/0/13/12]2/2gG[1/0/0/0/0]4/3G4/6G1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/2/0/6/1]1 P2 M 1 4 4 0 4 0x4000000
midgame-move-17, midgame-move, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]k[2/0/0/7/5]c[2/2/0/7/6]c[2/0/0/1/5]1/2g1g1g1/2g5/3g4/5g[1/0/0/0/0]G[1/0/0/0/0]G/8/1GG2G2/1C[2/0/0/15/5]C[2/2/0/8/6]K[2/2/0/10/6]C[2/0/0/15/10]C[2/0/0/12/9]C[2/0/0/3/10]1 P1 M 2 4 3 0 4 0x0
midgame-move-18, midgame-move, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]k[2/0/0/7/5]c[2/2/0/7/6]c[2/0/0/1/5]1/2g1g1g1/2g5/3g4/2G2g[1/0/0/0/0]G[1/0/0/0/0]G/8/2G2G2/1C[2/0/0/15/5]C[2/2/0/8/6]K[2/2/0/10/6]C[2/0/0/15/10]C[2/0/0/12/9]C[2/0/0/3/10]1 P1 M 1 4 3 0 4 0x4000000
midgame-move-19, midgame-move, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]k[2/0/0/7/5]c[2/2/0/7/6]c[2/0/0/1/5]1/2g1g1g1/2g5/3g4/2G2g[1/0/0/0/0]G[1/0/0/0/0]G/8/2G2G1C[2/0/0/3/10]/1C[2/1/0/15/5]C[2/2/0/8/6]K[2/2/0/10/6]C[2/0/0/15/10]C[2/0/0/12/9]2 P2 M 2 1 5 0 4 0x0
midgame-move-20, midgame-move, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]k[2/0/0/7/5]c[2/2/0/7/6]c[2/0/0/1/5]1/2g1g1g1/2g5/8/2G[1/0/0/0/0]g1g[1/0/0/0/0]G[1/0/0/0/0]G/8/2G2G1C[2/0/0/3/10]/1C[2/1/0/15/5]C[2/2/0/8/6]K[2/2/0/10/6]C[2/0/0/15/10]C[2/0/0/12/9]2 P2 M 1 1 5 0 4 0x8000000

# --- skill-phase-full (20 candidates) ---
skill-phase-full-01, skill-phase-full, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]K[2/0/0/9/5]C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 S 2 6 6 0 1 0x0
skill-phase-full-02, skill-phase-full, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/2G2G2/3K[2/0/0/9/5]4/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 S 1 3 6 0 1 0x0
skill-phase-full-03, skill-phase-full, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gg2gg1/8/2g2g2/2GK[2/0/0/9/5]1G2/8/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P2 S 2 0 6 0 1 0x0
skill-phase-full-04, skill-phase-full, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/1/0/12/6]1/1gg2gg1/8/2g2g2/2GK[2/0/0/9/5]1G2/8/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P2 S 1 0 4 0 1 0x0
skill-phase-full-05, skill-phase-full, -, -, 1c[2/0/0/8/15]c[2/0/0/2/9]c[2/0/0/11/6]k[2/0/0/7/10]c[2/0/0/12/14]c[2/0/0/7/10]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/8/12]C[2/0/0/5/6]K[2/0/0/9/10]C[2/0/0/14/2]C[2/0/0/14/10]C[2/0/0/13/8]1 P1 S 2 6 6 0 1 0x0
skill-phase-full-06, skill-phase-full, -, -, 1c[2/0/0/8/15]c[2/0/0/2/9]c[2/0/0/11/6]k[2/0/0/7/10]c[2/0/0/12/14]c[2/0/0/7/10]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/8/12]C[2/1/0/5/6]K[2/0/0/9/10]C[2/0/0/14/2]C[2/0/0/14/10]C[2/0/0/13/8]1 P1 S 1 4 6 0 1 0x0
skill-phase-full-07, skill-phase-full, -, -, 1c[2/0/0/8/15]c[2/0/0/2/9]c[2/0/0/11/6]k[2/0/0/7/10]c[2/0/0/12/14]c[2/0/0/7/10]1/1gg2gg1/8/2g2g2/2G2G2/8/1GG2GG1/1C[2/0/0/8/12]C[2/2/0/5/6]K[2/0/0/9/10]C[2/0/0/14/2]C[2/0/0/14/10]C[2/0/0/13/8]1 P2 S 2 2 6 0 1 0x0
skill-phase-full-08, skill-phase-full, -, -, 1c[2/0/0/8/15]c[2/0/0/2/9]c[2/1/0/11/6]k[2/0/0/7/10]c[2/0/0/12/14]c[2/0/0/7/10]1/1gg2gg1/8/2g2g2/2G2G2/8/1GG2GG1/1C[2/0/0/8/12]C[2/2/0/5/6]K[2/0/0/9/10]C[2/0/0/14/2]C[2/0/0/14/10]C[2/0/0/13/8]1 P2 S 1 2 4 0 1 0x0
skill-phase-full-09, skill-phase-full, -, -, 1c[2/0/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/4/10]C[2/0/0/2/3]K[2/0/0/8/13]C[2/0/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P1 S 2 6 6 0 1 0x0
skill-phase-full-10, skill-phase-full, -, -, 1c[2/0/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/4/10]C[2/1/0/2/3]K[2/0/0/8/13]C[2/0/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P1 S 1 3 6 0 1 0x0
skill-phase-full-11, skill-phase-full, -, -, 1c[2/0/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/1gg2gg1/8/2g2g2/2G2G2/8/1GG2GG1/1C[2/0/0/4/10]C[2/2/0/2/3]K[2/0/0/8/13]C[2/0/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P2 S 2 0 6 0 1 0x0
skill-phase-full-12, skill-phase-full, -, -, 1c[2/1/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/1gg2gg1/8/2g2g2/2G2G2/8/1GG2GG1/1C[2/0/0/4/10]C[2/2/0/2/3]K[2/0/0/8/13]C[2/0/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P2 S 1 0 4 0 1 0x0
skill-phase-full-13, skill-phase-full, -, -, 1c[2/0/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/10/3]C[2/0/0/13/12]K[2/0/0/15/11]C[2/0/0/2/13]C[2/0/0/12/15]C[2/0/0/1/8]1 P1 S 2 6 6 0 1 0x0
skill-phase-full-14, skill-phase-full, -, -, 1c[2/0/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/10/3]C[2/0/0/13/12]K[2/0/0/15/11]C[2/0/0/2/13]C[2/1/0/12/15]C[2/0/0/1/8]1 P1 S 1 3 6 0 1 0x0
skill-phase-full-15, skill-phase-full, -, -, 1c[2/0/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/1gg2gg1/8/2g2g2/2G2G2/8/1GG2GG1/1C[2/0/0/10/3]C[2/0/0/13/12]K[2/0/0/15/11]C[2/0/0/2/13]C[2/2/0/12/15]C[2/0/0/1/8]1 P2 S 2 0 6 0 1 0x0
skill-phase-full-16, skill-phase-full, -, -, 1c[2/1/0/13/6]c[2/0/0/9/2]c[2/0/0/8/7]k[2/0/0/9/14]c[2/0/0/3/10]c[2/0/0/1/11]1/1gg2gg1/8/2g2g2/2G2G2/8/1GG2GG1/1C[2/0/0/10/3]C[2/0/0/13/12]K[2/0/0/15/11]C[2/0/0/2/13]C[2/2/0/12/15]C[2/0/0/1/8]1 P2 S 1 0 4 0 1 0x0
skill-phase-full-17, skill-phase-full, -, -, 1c[2/0/0/14/13]c[2/0/0/13/12]c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/0/0/11/6]C[2/0/0/7/13]C[2/0/0/6/1]1 P1 S 2 6 6 0 1 0x0
skill-phase-full-18, skill-phase-full, -, -, 1c[2/0/0/14/13]c[2/0/0/13/12]c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/1/0/11/6]C[2/0/0/7/13]C[2/0/0/6/1]1 P1 S 1 4 6 0 1 0x0
skill-phase-full-19, skill-phase-full, -, -, 1c[2/0/0/14/13]c[2/0/0/13/12]c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/1gg2gg1/8/2g1g3/2G2G2/8/1GG2GG1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/0/0/6/1]1 P2 S 2 2 6 0 1 0x0
